,Date,Job title,Location
74,2021-04-08,Systems developer,"NewElizabethtown,AA"
75,2021-04-08,Graphic designer,"Charlesstad,AE"
76,2021-04-08,Writer,"Josephbury,AE"
77,2021-04-08,Field seismologist,"Seanfurt,AA"
78,2021-04-08,Chief Strategy Officer,"Williambury,AA"
79,2021-04-08,Air cabin crew,"SouthJorgeside,AP"
80,2021-04-08,Python Programmer (Entry-Level),"Robertborough,AP"
81,2021-04-08,Warden/ranger,"SouthSaratown,AP"
82,2021-04-08,Sports therapist,"Hullview,AA"
83,2021-04-08,Arts development officer,"Philipland,AP"
84,2021-04-08,Printmaker,"NorthPatty,AE"
85,2021-04-08,Health and safety adviser,"NorthStephen,AE"
86,2021-04-08,Manufacturing systems engineer,"Stevensland,AP"
87,2021-04-08,"Programmer, applications","Reyesstad,AE"
88,2021-04-08,Medical physicist,"Bellberg,AP"
89,2021-04-08,Media planner,"NorthJohnland,AE"
90,2021-04-08,Software Developer (Python),"Martinezburgh,AE"
91,2021-04-08,"Surveyor, land/geomatics","Joshuatown,AE"
92,2021-04-08,Legal executive,"WestEricstad,AA"
93,2021-04-08,"Librarian, academic","Tuckertown,AE"
94,2021-04-08,Barrister,"Perezton,AE"
95,2021-04-08,Museum/gallery exhibitions officer,"LakeAbigail,AE"
96,2021-04-08,"Radiographer, diagnostic","Jacobshire,AP"
97,2021-04-08,Database administrator,"PortSusan,AE"
98,2021-04-08,Furniture designer,"NorthTiffany,AA"
99,2021-04-08,Ship broker,"Michelleville,AP"
